,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Engine,Max Power,Max Torque,Drivetrain,Fuel Tank Capacity,mileage
382,Volkswagen,Polo GT TSI,1095000,2020,43260,Petrol,Automatic,Bangalore,Red,First,1197 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
391,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,1497 cc,,,FWD,42.0,17.0 kmpl
392,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,1497 cc,,,FWD,42.0,17.0 kmpl
393,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,1497 cc,,,FWD,42.0,17.0 kmpl
394,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,1497 cc,,,FWD,42.0,17.0 kmpl
395,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,1497 cc,,,FWD,42.0,17.0 kmpl
396,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,1497 cc,,,FWD,42.0,17.0 kmpl
397,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,1497 cc,,,FWD,42.0,17.0 kmpl
399,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
400,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
401,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
402,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
403,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
404,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
405,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
419,Toyota,Corolla Altis 1.8 G,725000,2014,104814,Petrol,Manual,Mumbai,Grey,First,1798 cc,138,4000 rpm,FWD,55.0,14.28 kmpl
420,Toyota,Corolla Altis 1.8 G,725000,2014,104814,Petrol,Manual,Mumbai,Grey,First,1798 cc,138,4000 rpm,FWD,55.0,14.28 kmpl
455,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,1497 cc,,,FWD,42.0,17.0 kmpl
456,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,1497 cc,,,FWD,42.0,17.0 kmpl
457,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,1497 cc,,,FWD,42.0,17.0 kmpl
458,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,1497 cc,,,FWD,42.0,17.0 kmpl
459,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,1497 cc,,,FWD,42.0,17.0 kmpl
460,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,1497 cc,,,FWD,42.0,17.0 kmpl
461,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,1497 cc,,,FWD,42.0,17.0 kmpl
474,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
475,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
476,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
477,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
478,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
479,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
480,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
481,Mercedes-Benz,M-Class ML 350 CDI,2450000,2014,65000,Diesel,Automatic,Chandigarh,White,Second,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
482,Mercedes-Benz,M-Class ML 350 CDI,2450000,2014,65000,Diesel,Automatic,Chandigarh,White,Second,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
489,Volvo,V40 Cross Country D3,1595000,2015,44000,Diesel,Automatic,Mumbai,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,23.3 kmpl
555,Hyundai,Verna 1.6 VTVT S,495000,2015,42000,Petrol,Manual,Kolkata,Red,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
556,Hyundai,Verna 1.6 VTVT S,495000,2015,42000,Petrol,Manual,Kolkata,Red,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
557,Hyundai,Verna 1.6 VTVT S,495000,2015,42000,Petrol,Manual,Kolkata,Red,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
577,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,,,,,,19.4 kmpl
578,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,,,,,,19.4 kmpl
579,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,,,,,,19.4 kmpl
580,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,,,,,,19.4 kmpl
581,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,,,,,,19.4 kmpl
582,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,,,,,,19.4 kmpl
583,Honda,Brio S MT,295000,2012,66240,Petrol,Manual,Jaipur,Grey,Third,,,,,,19.4 kmpl
587,Mahindra,Bolero SLX 2WD,379000,2012,88500,Diesel,Manual,Panchkula,White,Second,,,,,,13.6 kmpl
588,Mahindra,Bolero SLX 2WD,379000,2012,88500,Diesel,Manual,Panchkula,White,Second,,,,,,13.6 kmpl
589,Mahindra,Bolero SLX 2WD,379000,2012,88500,Diesel,Manual,Panchkula,White,Second,,,,,,13.6 kmpl
619,Hyundai,i10 Sportz 1.2,270000,2010,86000,Petrol,Manual,Chennai,Grey,Second,1197 cc,,,FWD,35.0,20.36 kmpl
620,Hyundai,i10 Sportz 1.2,270000,2010,86000,Petrol,Manual,Chennai,Grey,Second,1197 cc,,,FWD,35.0,20.36 kmpl
647,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
648,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
649,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
650,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
651,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
652,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
653,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
684,Volkswagen,Polo GT TSI,625000,2016,68000,Petrol,Automatic,Delhi,White,First,1197 cc,103,1500 rpm,FWD,45.0,17.21 kmpl
685,Volkswagen,Polo GT TSI,625000,2016,68000,Petrol,Automatic,Delhi,White,First,1197 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
686,Volkswagen,Polo GT TSI,625000,2016,68000,Petrol,Automatic,Delhi,White,First,1197 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
735,Honda,City 1.5 V MT,269000,2010,73000,Petrol,Manual,Delhi,Silver,Second,1497 cc,,,FWD,42.0,17.0 kmpl
736,Honda,City 1.5 V MT,269000,2010,73000,Petrol,Manual,Delhi,Silver,Second,1497 cc,,,FWD,42.0,17.0 kmpl
737,Honda,City 1.5 V MT,269000,2010,73000,Petrol,Manual,Delhi,Silver,Second,1497 cc,,,FWD,42.0,17.0 kmpl
738,Honda,City 1.5 V MT,269000,2010,73000,Petrol,Manual,Delhi,Silver,Second,1497 cc,,,FWD,42.0,17.0 kmpl
739,Honda,City 1.5 V MT,269000,2010,73000,Petrol,Manual,Delhi,Silver,Second,1497 cc,,,FWD,42.0,17.0 kmpl
740,Honda,City 1.5 V MT,269000,2010,73000,Petrol,Manual,Delhi,Silver,Second,1497 cc,,,FWD,42.0,17.0 kmpl
741,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
742,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
743,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
744,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
745,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
746,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
747,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
748,Toyota,Fortuner 4x2 AT,1450000,2013,170669,Diesel,Automatic,Mumbai,White,First,2982 cc,,,,80.0,12.55 kmpl
751,Hyundai,i20 Active 1.2 S,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
752,Hyundai,i20 Active 1.2 S,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
753,Hyundai,i20 Active 1.2 S,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
754,Hyundai,i20 Active 1.2 S,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
755,Hyundai,i20 Active 1.2 S,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
756,Hyundai,i20 Active 1.2 S,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
757,Hyundai,i20 Active 1.2 S,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
776,BMW,X1 sDrive20i xLine,4700000,2022,13120,Petrol,Automatic,Pune,White,First,1998 cc,189,1350 rpm,FWD,51.0,15.71 kmpl
777,BMW,X1 sDrive20i xLine,4700000,2022,13120,Petrol,Automatic,Pune,White,First,1998 cc,189,1350 rpm,FWD,51.0,15.71 kmpl
790,Honda,City 1.5 V MT,445000,2012,111000,Petrol,Manual,Ernakulam,Red,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
791,Honda,City 1.5 V MT,445000,2012,111000,Petrol,Manual,Ernakulam,Red,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
792,Honda,City 1.5 V MT,445000,2012,111000,Petrol,Manual,Ernakulam,Red,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
793,Honda,City 1.5 V MT,445000,2012,111000,Petrol,Manual,Ernakulam,Red,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
794,Honda,City 1.5 V MT,445000,2012,111000,Petrol,Manual,Ernakulam,Red,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
795,Honda,City 1.5 V MT,445000,2012,111000,Petrol,Manual,Ernakulam,Red,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
799,Mercedes-Benz,S-Class S 350 CDI,5500000,2015,54000,Diesel,Automatic,Faridabad,White,First,2987 cc,255,1600 rpm,RWD,70.0,13.5 kmpl
800,Mercedes-Benz,S-Class S 350 CDI,5500000,2015,54000,Diesel,Automatic,Faridabad,White,First,2987 cc,255,1600 rpm,RWD,70.0,13.5 kmpl
801,Mercedes-Benz,S-Class S 350 CDI,5500000,2015,54000,Diesel,Automatic,Faridabad,White,First,2987 cc,255,1600 rpm,RWD,70.0,13.5 kmpl
802,Mercedes-Benz,S-Class S 350 CDI,5500000,2015,54000,Diesel,Automatic,Faridabad,White,First,2987 cc,255,1600 rpm,RWD,70.0,13.5 kmpl
821,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
826,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
827,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
828,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
830,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
832,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
833,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
834,Toyota,Etios Liva GD,625000,2015,76000,Diesel,Manual,Pune,White,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
842,Honda,Brio S MT,365000,2014,31000,Petrol,Manual,Kharar,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
843,Honda,Brio S MT,365000,2014,31000,Petrol,Manual,Kharar,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
